iter	RMSE
0	29.22730544
1	29.08856139
2	28.88425185
3	28.753152
4	28.6554313
5	28.59253506
6	28.50128952
7	28.3729294
8	28.29905787
9	28.18351759
10	28.03417259
11	27.94612553
12	27.87972993
13	27.78849788
14	27.73280132
15	27.61153651
16	27.53301343
17	27.38338625
18	27.32702093
19	27.26260135
20	27.17743121
21	27.14361934
22	27.06820086
23	27.04322473
24	27.01200127
225	27.08743857226	27.00698766227	26.97189752828	26.89569702929	26.79254953030	26.72876763131	26.65385283232	26.6190138333	26.58456092334	26.54634488335	26.49654732336	26.42645321337	26.35582568338	26.2801259
39	26.17445969
40	26.13364193
41	26.08236639
42	25.99681385
43	25.90514166
44	25.89478139
45	25.86754111
46	25.84128891
47	25.81296815448	25.79826775449	25.77679034550	25.72002661551	25.68617877552	25.64258131553	25.62605421554	25.57514888555	25.54953304556	25.51632079557	25.50599316558	25.48400818559	25.45241396060	25.43011476161	25.40335826262	25.3767712663	25.33324958664	25.29595976565	25.2701366	266	25.2500967	267	25.2381468	268	25.1879069	269	25.1517670	270	25.1064371	271	25.076572	2572	25.068173	2573	25.047874	274	25.0360775	275	24.9974576	276	24.9721877	77	24.95358278	78	24.9188979	279	24.8925680	280	24.8583481	281	24.8242982	282	24.7978283	283	24.7840284	284	24.7608985	285	24.7481586	86	24.72745187	24.7011143
88	24.68564543
89	24.6687249
90	24.65040204
91	24.64436148
92	24.62660473
93	24.60278388
94	24.57500093
95	24.54901738
96	24.51713419
97	24.49998132
98	24.4854527
99	24.46257503
100	24.44155325
101	24.41859789
102	24.4058522
103	24.3838389
104	24.36388941
105	24.34831453
106	24.338237
107	24.32326574
108	24.30756772
109	24.28376034
110	24.27363706
111	24.26130072
112	24.25181834
113	24.24282882
114	24.23058863
115	24.21772272
116	24.20856775
117	24.1946526
118	24.16156962
119	24.15259191
120	24.13485572
121	24.12036018
122	24.10502963
123	24.08627203
124	24.07391821
125	24.0620674
126	24.03520446
127	24.01481659
128	23.99595733
129	23.97074049
130	23.93700989
131	23.91936428
132	23.91286034
133	23.89323824
134	23.87512192
135	23.86715487
136	23.84812401
137	23.83647855
138	23.80928647
139	23.79494483
140	23.78734682
141	23.77627466
142	23.75006015
143	23.73311113
144	23.71332309
145	23.69269478
146	23.67792473
147	23.6608669
148	23.64748865
149	23.63644665
150	23.62851806
151	23.62144526
152	23.59800093
153	23.57678864
154	23.56717887
155	23.55024263
156	23.54281347
157	23.53608442
158	23.5168973
159	23.50380768
160	23.47458353
161	23.45846581
162	23.45093415
163	23163	23.445164	23164	23.42165	23.165	23.41166	23.166	23.40167	23.167	23.39168	23.168	23.38169	23.169	23.37170	23.170	23.35171	23.171	23.3172	23.3172	23.3173	23.3173	23.3174	23.2174	23.2175	23.175	23.29176	23.176	23.26177	23177	23.251178	23178	23.240179	23179	23.233180	23180	23.21181	23.181	23.18182	23.182	23.17183	23.183	23.15184	23.184	23.13185	23.185	23.12186	23.186	23.09187	23.187	23.08188	23.188	23.07189	23.189	23.05190	23190	23.044191	23191	23.032192	22192	23.018193	22193	23.01194	22.194	22.99195	22195	22.983196	22196	22.974197	22197	22.960198	22198	22.949199	22199	22.932200	22200	22.919201	22201	22.906202	22202	22.8203	2203	22.885204	22204	22.878205	2205	22.8639206	2206	22.8562207	2207	22.8444208	2208	22.8371209	2209	22.8181210	2210	22.8104211	2211	22.8011212	2212	22.7906213	2213	22.7787214	2214	22.7624215	2215	22.7541216	216	22.74482217	217	22.73047218	218	22.71659219219	22.698369220220	22.690508221221	22.678733222222	22.655979223223	22.638360224224	22.631211225225	22.623773226226	22.614471227227	22.596127228228	22.58730022229	22.580825
230	22.5608531
231	22.5537899
232	22.54772963
233	22.5384598
234	22.53223657
235	22.51908285
236	22.51013245
237	22.50251693
238	22.48960773
239	22.47982666
240	22.47122698
241	22.46504361
242	22.45876838
243	22.44834617
244	22.44118233
245	22.4305961
246	22.42114223
247	22.40960314
248	22.40496015
249	22.39289767
250	22.38226024
251	22.37286216
252	22.35765998
253	22.34533492
254	22.33732907
255	22.33107165
256	22.32044577
257	22.31009899
258	22.30539381
259	22.2957387
260	22.28258628
261	22.27550399
262	22.25936046
263	22.25210604
264	22.24020822
265	22.22854267
266	22.21289358
267	22.2000372
268	22.19241359
269	22.1824015
270	22.17781546
271	22.1685051
272	22.1598321
273	22.14808057
274	22.1421702
275	22.13415169
276	22.12543891
277	22.11919915
278	22.11140299
279	22.09949926
280	22.09278553
281	22.08380041
282	22.07729449
283	22.06723003
284	22.0561787
285	22.04756068
286	22.0411919
287	22.02539436
288	22.0201728
289	22.00978903
290	22.00072968
291	21.99105881
292	21.98178156
293	21.97484484
294	21.9595084
295	21.95230827
296	21.94509604
297	21.93754366
298	21.92422895
299	21.91540007
300	21.9086897
301	21.9014998
302	21.88989146
303	21.88313438
304	21.87861081
305	21.87346022
306	21.86587213
307	21.85450106
308	21.84401405
309	21.83150974
310	21.82370765
311	21.81395963
312	21.80927684
313	21.80237894
314	21.7976431
315	21.79024418
316	21.78230891
317	21.77220879
318	21.76115764
319	21.75073864
320	21.74067512
321	21.73041677
322	21.72314376
323	21.71485275
324	21.70822377
325	21.69600737
326	21.68626255
327	21.67710649
328	21.66518401
329	21.65570604
330	21.64535879
331	21.64036598
332	21.63261607
333	21.62574922
334	21.62214203
335	21.61786675
336	21.61111828
337	21.60503212
338	21.59819392
339	21.59156457
340	21.58284523
341	21.57800294
342	21.56935985
343	21.56361022
344	21.5566461
345	21.548149
346	21.53904561
347	21.53305426
348	21.52627011
349	21.52074263
350	21.51360039
351	21.50492434
352	21.49533076
353	21.48613441
354	21.47645027
355	21.46931975
356	21.46193484
357	21.45559173
358	21.44525113
359	21.43844759
360	21.43114333
361	21.42043499
362	21.40929777
363	21.40244829
364	21.39628033
365	21.39119226
366	21.38423947
367	21.37502293
368	21.36830081
369	21.36119783
370	21.35680812
371	21.35213591
372	21.34685663
373	21.3395952
374	21.3329342
375	21.32662717
376	21.32132157
377	21.31333858
378	21.306057
379	21.29955978
380	21.29282201
381	21.28737927
382	21.28067245
383	21.27309117
384	21.26479185
385	21.25467948
386	21.2488529
387	21.24186313
388	21.23430731
389	21.22595602
390	21.21887035
391	21.21162982
392	21.20571126
393	21.19790249
394	21.18838593
395	21.18235431
396	21.17378182
397	21.16328246
398	21.15659014
399	21.14717684
400	21.13584239
401	21.12810596
402	21.12218408
403	21.11360879
404	21.10468429
405	21.09965451
406	21.09234626
407	21.0859595
408	21.0777759
409	21.06988581
410	21.06054416
411	21.05648915
412	21.05041995
413	21.0437866
414	21.03851024
415	21.03130625
416	21.0212882
417	21.0148928
418	21.00797904
419	21.00234555
420	20.9984802
421	20.99230351
422	20.98744416
423	20.98079152
424	20.97147995
425	20.96729328
426	20.95906787
427	20.95390814
428	20.94682817
429	20.93691105
430	20.93007973
431	20.92471769
432	20.92001968
433	20.91396286
434	20.91043193
435	20.90222457
436	20.89607323
